base_origem,qru_corrida,nome_orgao,status_corrida,motivo_corrida,km_total,valor_corrida,data_abertura,data_despacho,data_local_embarque,data_inicio,data_final,origem_endereco,origem_bairro,origem_cidade,origem_uf,destino_solicitado_endereco,destino_efetivo_endereco,origem_latitude,origem_longitude,destino_solicitado_latitude,destino_solicitado_longitude,destino_efetivo_latitude,destino_efetivo_longitude,ateste_setorial_data,conteste_info
TAXIGOV_DF,514588.0,Ministério da Economia,CONCLUÍDA,3 - VISITA TECNICA,30.62,96.77,2022-03-31 07:16:12.600,2022-03-31 07:16:21.943,2022-03-31 07:18:46.727,2022-03-31 07:19:10.213,2022-03-31 07:55:49.613,RECEITA FEDERAL,BRASILIA,BRASILIA,DF,"Centro de Juventude de Samambaia, Brasilia, DF","QUADRA QS 402, SAMAMBAIA, BRASILIA - DF, 72318-520, BRASIL - BRASILIA",-15.801838,-47.881059,-15.869028,-48.088905,-15.869603,-48.089303,2022-04-07 10:30:05.973,
TAXIGOV_DF,514592.0,Ministério Cidadania,CONCLUÍDA,1 - REUNIAO EXTERNA,11.98,37.86,2022-03-31 07:27:43.707,2022-03-31 07:29:11.167,2022-03-31 07:46:46.910,2022-03-31 07:49:30.827,2022-03-31 08:03:53.117,"BRASILIA - DF, 70346-090, BRASIL",BRASILIA,BRASILIA,DF,"Ministerio da Cidadania - GM/MC, Brasilia, DF","EMI BLOCO A, BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.836506,-47.951229,-15.798405,-47.873197,-15.798743,-47.873186,2022-04-06 10:09:04.377,
TAXIGOV_DF,514612.0,MINISTERIO DO DESENVOLVIMENTO REGIONAL,CONCLUÍDA,1 - REUNIAO EXTERNA,5.84,18.44,2022-03-31 08:07:01.683,2022-03-31 08:07:14.303,2022-03-31 08:09:47.083,2022-03-31 08:09:54.427,2022-03-31 08:23:11.423,MINISTERIO DO DESENVOLVIMENTO REGIONAL - ED. CELSO FURTADO,ASA NORTE,BRASILIA,DF,"Ministerio da Ciencia, Tecnologia e Inovacoes - MCTI, Brasilia, DF","EMI BLOCO B, BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.770219,-47.893141,-15.799863,-47.870052,-15.798648,-47.872254,2022-04-04 13:45:26.670,
TAXIGOV_DF,514616.0,MAPA - Ministério da Agricultura - Pecuária e Abastecimento,CONCLUÍDA,1 - REUNIAO EXTERNA,12.46,39.36,2022-03-31 08:10:56.283,2022-03-31 08:11:50.220,2022-03-31 08:16:10.520,2022-03-31 08:21:13.327,2022-03-31 08:39:56.753,"ANVISA - AGENCIA NACIONAL DE VIGILANCIA SANITARIA, 57",ZONA INDUSTRIAL GUARA,BRASILIA,DF,"Anexos A e B do Ministerio da Agricultura, Asa Sul, Brasilia, Distrito Federal","EM, 4, BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.798782,-47.954007,-15.800980,-47.871103,-15.80152,-47.871124,2022-04-04 15:38:25.673,
TAXIGOV_DF,514623.0,MINISTERIO DO DESENVOLVIMENTO REGIONAL,CONCLUÍDA,1 - REUNIAO EXTERNA,11.15,35.25,2022-03-31 08:16:05.157,2022-03-31 08:16:48.130,2022-03-31 08:20:47.950,2022-03-31 08:20:57.560,2022-03-31 08:42:37.843,MINISTERIO DO DESENVOLVIMENTO REGIONAL - ED. CELSO FURTADO,ASA NORTE,BRASILIA,DF,"CENAD, Brasilia, DF","SPO. 15, BRASILIA - DF, 70610-200, BRASIL - BRASILIA",-15.770219,-47.893141,-15.814576,-47.941157,-15.81968,-47.945679,2022-04-04 13:40:10.243,
TAXIGOV_DF,514624.0,Ministério da Infraestrutura,CANCELADA,1 - REUNIAO EXTERNA,,6.32,2022-03-31 08:16:26.723,2022-03-31 08:18:00.900,,2022-03-31 08:18:00.900,2022-03-31 08:24:12.377,"SANTA MARIA, BRASILIA - DF, 72510-418, BRASIL",SANTA MARIA,BRASILIA,DF,"SGO Q 1 Ae, Brasilia, DF",,-16.027894,-47.987606,-15.782000,-47.911890,,,,
TAXIGOV_DF,514625.0,Ministério da Justiça,CONCLUÍDA,1 - REUNIAO EXTERNA,14.93,47.18,2022-03-31 08:17:26.770,2022-03-31 08:17:39.007,2022-03-31 08:21:01.397,2022-03-31 08:21:16.010,2022-03-31 08:47:51.517,MINISTERIO DA JUSTICA E CIDADANIA - ANEXO II,,BRASILIA,DF,"Complexo da Academia do Bombeiro Militar, Brasilia, Distrito Federal","SPO. 15, BRASILIA - DF, 70610-200, BRASIL - BRASILIA",-15.796573,-47.866005,-15.830722,-47.938136,-15.832396,-47.939236,2022-04-04 08:51:45.213,
TAXIGOV_DF,514628.0,Ministério da Economia,CONCLUÍDA,1 - REUNIAO EXTERNA,1.17,6.32,2022-03-31 08:19:26.953,2022-03-31 08:19:37.813,2022-03-31 08:19:38.743,2022-03-31 08:22:37.413,2022-03-31 08:24:57.717,EM BLOCO K,BRASILIA,BRASILIA,DF,"Ministerio da Economia - Bloco F, Zona Civico-Administrativa, Brasilia, Distrito Federal","EMI BLOCO F, BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.794758,-47.874211,-15.799624,-47.869075,-15.800062,-47.869028,2022-04-07 11:18:57.310,
TAXIGOV_DF,514637.0,MAPA - Ministério da Agricultura - Pecuária e Abastecimento,CONCLUÍDA,1 - REUNIAO EXTERNA,1.06,6.32,2022-03-31 08:23:16.203,2022-03-31 08:23:34.180,2022-03-31 08:24:59.250,2022-03-31 08:25:11.410,2022-03-31 08:26:55.940,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO (MAPA)",BRASILIA,BRASILIA,DF,"Palacio do Planalto, Brasilia, DF","PRACA DOS TRES PODERES, BRASILIA - DF, 70070-350, BRASIL - BRASILIA",-15.799613,-47.870953,-15.799048,-47.860768,-15.799749,-47.861691,,
TAXIGOV_DF,514638.0,Ministério da Educação,CONCLUÍDA,1 - REUNIAO EXTERNA,2.06,6.52,2022-03-31 08:23:56.763,2022-03-31 08:29:21.670,2022-03-31 08:34:33.770,2022-03-31 08:34:36.400,2022-03-31 08:38:51.840,MINISTERIO DA EDUCACAO,ASA NORTE,BRASILIA,DF,"Palacio do Planalto, Pca. dos Tres Poderes, Brasilia, Brasilia, DF","VIA N. UM LESTE, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.794999,-47.873049,-15.799410,-47.860877,-15.799280,-47.861802,2022-04-06 10:08:00.237,
